char_count,word_count,unique_word_count,sentence_count,avg_word_length,std_word_length,avg_sentence_length,std_sentence_length,type_token_ratio,punctuation_ratio,comma_ratio,period_ratio,exclamation_ratio,question_ratio,semicolon_ratio,colon_ratio,repeated_punctuation_ratio,uppercase_ratio,digit_ratio,noun_ratio,verb_ratio,adjective_ratio,adverb_ratio,pronoun_ratio,conjunction_ratio,stopword_ratio,negation_ratio,intensifier_ratio,certainty_ratio,syllable_count,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,sentiment_polarity,sentiment_subjectivity,repeated_word_count,repeated_word_ratio
148,27,25,2,4.37037037037037,2.0027416051253,13.5,1.5,0.9259259259259259,0.02702702702702703,0.013513513513513514,0.013513513513513514,0.0,0.0,0.0,0.0,0.0,0.013513513513513514,0.0,0.25925925925925924,0.14814814814814814,0.1111111111111111,0.037037037037037035,0.1111111111111111,0.037037037037037035,0.5185185185185185,0.0,0.0,0.0,38,74.06583333333336,6.282407407407408,6.881481481481481,0.20714285714285716,0.3410714285714285,0,0.0
205,39,36,3,3.948717948717949,1.5680907539918623,13.0,2.449489742783178,0.9230769230769231,0.04390243902439024,0.014634146341463415,0.014634146341463415,0.0,0.0,0.004878048780487805,0.0,0.0,0.014634146341463415,0.0,0.23076923076923078,0.15384615384615385,0.1282051282051282,0.07692307692307693,0.1282051282051282,0.07692307692307693,0.5128205128205128,0.0,0.02564102564102564,0.0,49,87.34769230769233,4.305641025641027,6.225641025641026,0.1875,0.3642857142857143,0,0.0
137,19,15,3,3.473684210526316,1.9833098612017654,6.333333333333333,5.436502143433364,0.7894736842105263,0.08029197080291971,0.0072992700729927005,0.0,0.021897810218978103,0.0,0.0,0.0072992700729927005,0.0,0.08029197080291971,0.145985401459854,0.10526315789473684,0.15789473684210525,0.15789473684210525,0.05263157894736842,0.15789473684210525,0.0,0.42105263157894735,0.0,0.05263157894736842,0.0,26,86.70500000000001,3.650000000000002,6.0,0.484375,0.775,2,0.10526315789473684
141,28,25,4,3.8214285714285716,1.513122868879633,7.0,1.8708286933869707,0.8928571428571429,0.03546099290780142,0.0,0.028368794326241134,0.0,0.0,0.0,0.0,0.0,0.028368794326241134,0.0,0.10714285714285714,0.07142857142857142,0.21428571428571427,0.14285714285714285,0.07142857142857142,0.03571428571428571,0.6785714285714286,0.0,0.03571428571428571,0.0,34,97.0014285714286,1.4685714285714297,2.8000000000000003,0.18055555555555558,0.4805555555555556,0,0.0
138,25,22,2,4.2,2.4657656011875906,12.5,8.5,0.88,0.043478260869565216,0.014492753623188406,0.014492753623188406,0.0,0.0,0.0,0.0,0.0,0.021739130434782608,0.0,0.16,0.16,0.12,0.08,0.2,0.04,0.56,0.0,0.04,0.0,37,68.93950000000002,6.749000000000002,8.200000000000001,-0.0033333333333333327,0.58,0,0.0
405,70,57,7,4.642857142857143,2.3666475039944723,10.0,6.568322247184371,0.8142857142857143,0.027160493827160494,0.009876543209876543,0.01728395061728395,0.0,0.0,0.0,0.0,0.0,0.01728395061728395,0.0,0.22857142857142856,0.12857142857142856,0.17142857142857143,0.04285714285714286,0.1,0.04285714285714286,0.4714285714285714,0.014285714285714285,0.0,0.0,103,72.20214285714286,5.6728571428571435,8.0,0.21904761904761905,0.3880952380952381,0,0.0
246,47,43,3,4.0638297872340425,1.8839100954194603,15.666666666666666,13.719410418171119,0.9148936170212766,0.028455284552845527,0.016260162601626018,0.012195121951219513,0.0,0.0,0.0,0.0,0.0,0.012195121951219513,0.0040650406504065045,0.2127659574468085,0.14893617021276595,0.0851063829787234,0.1702127659574468,0.10638297872340426,0.0425531914893617,0.5957446808510638,0.02127659574468085,0.06382978723404255,0.0,63,71.43750000000003,9.2575,12.100000000000001,0.2885416666666667,0.4441666666666667,0,0.0
56,9,9,2,5.111111111111111,1.852592444503674,4.5,1.5,1.0,0.03571428571428571,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0,0.3333333333333333,0.2222222222222222,0.0,0.1111111111111111,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,14,70.66750000000002,4.520555555555557,6.2444444444444445,0.024999999999999994,0.125,0,0.0
103,20,18,2,4.1,2.071231517720798,10.0,1.0,0.9,0.019417475728155338,0.0,0.019417475728155338,0.0,0.0,0.0,0.0,0.0,0.019417475728155338,0.0,0.3,0.1,0.15,0.05,0.05,0.05,0.5,0.0,0.0,0.0,28,78.24500000000002,4.830000000000002,10.0,0.29464285714285715,0.4994047619047619,0,0.0
75,15,15,1,3.933333333333333,1.730767331432956,15.0,0.0,1.0,0.02666666666666667,0.013333333333333334,0.0,0.013333333333333334,0.0,0.0,0.0,0.0,0.013333333333333334,0.0,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.0,0.6,0.0,0.06666666666666667,0.0,17,95.73000000000002,3.633333333333333,6.0,-0.15625,0.75,0,0.0
666,129,80,3,4.077519379844961,2.010100090457047,43.0,38.49675310984031,0.6201550387596899,0.012012012012012012,0.0075075075075075074,0.003003003003003003,0.0,0.0,0.0,0.0,0.0,0.015015015015015015,0.003003003003003003,0.13953488372093023,0.10852713178294573,0.10852713178294573,0.11627906976744186,0.18604651162790697,0.10077519379844961,0.6666666666666666,0.007751937984496124,0.046511627906976744,0.007751937984496124,170,30.229230769230796,25.19076923076923,26.923076923076923,0.29984199134199135,0.5583820346320346,0,0.0
271,48,38,5,4.395833333333333,2.4216005668886758,9.6,3.6110940170535577,0.7916666666666666,0.033210332103321034,0.007380073800738007,0.01845018450184502,0.0,0.0,0.0,0.0,0.0,0.02214022140221402,0.0,0.22916666666666666,0.10416666666666667,0.0625,0.08333333333333333,0.14583333333333334,0.08333333333333333,0.5833333333333334,0.0,0.020833333333333332,0.020833333333333332,67,79.00350000000002,4.624833333333335,6.34,0.37777777777777777,0.3666666666666667,0,0.0
342,70,46,4,3.5,1.932799597918596,17.5,10.062305898749054,0.6571428571428571,0.049707602339181284,0.017543859649122806,0.017543859649122806,0.0,0.0,0.0,0.0,0.0,0.043859649122807015,0.017543859649122806,0.12857142857142856,0.12857142857142856,0.07142857142857142,0.11428571428571428,0.21428571428571427,0.08571428571428572,0.6714285714285714,0.014285714285714285,0.02857142857142857,0.0,87,88.75721126760564,4.407154929577466,7.933521126760564,0.21428571428571427,0.4035714285714286,0,0.0
24,4,4,1,5.25,1.0897247358851685,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.5,0.0,0.25,0.0,0.0,0.0,0.25,0.0,0.0,0.0,5,97.025,0.7199999999999989,1.6,0.6000000000000001,0.575,0,0.0
28,6,6,1,3.6666666666666665,1.7950549357115013,6.0,0.0,1.0,0.03571428571428571,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.3333333333333333,0.0,0.8333333333333334,0.0,0.0,0.0,7,102.045,0.5166666666666693,2.4000000000000004,0.0,0.0,0,0.0
315,58,42,7,4.155172413793103,1.9190669799988118,8.285714285714286,4.199125273342592,0.7241379310344828,0.0380952380952381,0.0,0.022222222222222223,0.0,0.0,0.0,0.0,0.0,0.025396825396825397,0.0,0.25862068965517243,0.13793103448275862,0.13793103448275862,0.06896551724137931,0.13793103448275862,0.034482758620689655,0.5172413793103449,0.017241379310344827,0.0,0.0,81,78.87505747126438,4.659310344827588,4.55632183908046,0.6666666666666665,0.5388888888888889,0,0.0
58,10,10,2,4.7,2.6851443164195103,5.0,2.0,1.0,0.034482758620689655,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.017241379310344827,0.0,0.4,0.0,0.2,0.1,0.0,0.1,0.4,0.0,0.0,0.0,15,74.86000000000003,4.060000000000002,6.0,0.475,0.5,0,0.0
215,40,33,4,4.175,2.245968610644414,10.0,8.660254037844387,0.825,0.03255813953488372,0.004651162790697674,0.018604651162790697,0.0,0.0,0.0,0.0,0.0,0.027906976744186046,0.009302325581395349,0.1,0.2,0.125,0.075,0.175,0.075,0.6,0.025,0.0,0.0,54,82.47500000000001,4.240000000000002,5.0,0.12000000000000002,0.2314285714285714,0,0.0
54,11,11,2,3.8181818181818183,2.16661368869327,5.5,1.5,1.0,0.037037037037037035,0.0,0.018518518518518517,0.018518518518518517,0.0,0.0,0.0,0.0,0.037037037037037035,0.0,0.2727272727272727,0.09090909090909091,0.0,0.36363636363636365,0.09090909090909091,0.0,0.6363636363636364,0.09090909090909091,0.09090909090909091,0.0,15,85.88886363636365,2.6459090909090897,5.836363636363637,0.5416666666666667,0.8333333333333334,0,0.0
